"","participant","first_character","second_character","Cue","left_categ","centleft_categ","centright_categ","right_categ","obj_category","trial_cond","corr_ans","switch_cond","cuedCharacter","image","task_resp.keys","task_resp.corr","task_resp.rt","myownaccuracy","trialNum","response","respCat","accuracy","V1","P1","Post1","Vpre1","V2","P2","Post2","Vpre2","V3","P3","Post3","Vpre3","V4","P4","Post4","Vpre4","Prob","Delta","entropy_preP","entropy_preV","surpriseP","surpriseV"
"11",1,"stimuli/m5.jpg","stimuli/m2.jpg",1,"stimuli/Kitchen & utensil.png","stimuli/Outdoor activity & sport item.png","stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png","Hand labour tool & accessory",1,4,1,"stimuli/m5.jpg","stimuli/objects/gavel.jpg",NA,NA,NA,0,11,NA,NA,0,-0.940543525099972,0.00402713491359696,0.00159332198776927,-0.901224106651687,0.761861954478838,0.958714860331073,0.991137876028665,0.547001055536754,-0.604368701952571,0.033230869841733,0.00567547999579613,-0.342732057914698,-0.940543525099972,0.00402713491359696,0.00159332198776927,-0.901224106651687,NA,NA,0.197964867788829,NA,0.0199800210840882,-0.170733227563973
"12",1,"stimuli/m5.jpg","stimuli/m2.jpg",1,"stimuli/Kitchen & utensil.png","stimuli/Hand labour tool & accessory.png","stimuli/Electronic device & accessory.png","stimuli/Outdoor activity & sport item.png","Outdoor activity & sport item",0,4,1,"stimuli/m5.jpg","stimuli/objects/swing.jpg",NA,NA,NA,0,12,NA,NA,0,-0.964211182630646,0.00159332198776927,0.0115438255167841,-0.940543525099972,0.0605229426211358,0.991137876028665,0.554687892348753,0.761861954478838,-0.761856445488438,0.00567547999579613,0.0247990843183979,-0.604368701952571,-0.0201287397338438,0.00159332198776927,0.408969197816065,-0.940543525099972,NA,NA,0.0587022025885923,NA,2.0063500462084,-0.276296841427224
"13",1,"stimuli/m5.jpg","stimuli/m2.jpg",2,"stimuli/Outdoor activity & sport item.png","stimuli/Electronic device & accessory.png","stimuli/Kitchen & utensil.png","stimuli/Hand labour tool & accessory.png","Outdoor activity & sport item",1,1,1,"stimuli/m2.jpg","stimuli/objects/bicycle.jpg",NA,NA,NA,0,13,NA,NA,0,-0.940543525099972,0.0106926640181763,0.00328717650925703,-0.901224106651687,-0.377071282964781,0.367564969612862,0.0276402258906325,0.0348803998375591,-0.940543525099972,0.0106926640181763,0.00328717650925703,-0.901224106651687,0.563354002633355,0.611049702350786,0.965785421090853,0.169388597784497,NA,NA,0.765919161664454,NA,0.3628239355689,NA
"14",1,"stimuli/m2.jpg","stimuli/m5.jpg",1,"stimuli/Electronic device & accessory.png","stimuli/Outdoor activity & sport item.png","stimuli/Hand labour tool & accessory.png","stimuli/Kitchen & utensil.png","Outdoor activity & sport item",1,2,1,"stimuli/m2.jpg","stimuli/objects/racquetballracket.jpg",NA,NA,NA,1,14,NA,NA,0,-0.964211182630646,0.00328717650925703,0.00141179458172441,-0.940543525099972,-0.625038616473891,0.0276402258906325,0.00508616186609845,-0.377071282964781,-0.964211182630646,0.00328717650925703,0.00141179458172441,-0.940543525099972,0.770458572435001,0.965785421090853,0.992090248970453,0.563354002633355,NA,NA,0.17039930289548,NA,0.0156638486266252,-0.122594076731424
"15",1,"stimuli/m5.jpg","stimuli/m2.jpg",1,"stimuli/Hand labour tool & accessory.png","stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png","stimuli/Electronic device & accessory.png","Kitchen & utensil",0,3,1,"stimuli/m5.jpg","stimuli/objects/freezer02.jpg",NA,NA,NA,0,15,NA,NA,0,-0.978457527950477,0.0115438255167841,0.0136672817372404,-0.964211182630646,-0.361636188938262,0.554687892348753,0.140589315740834,0.0605229426211358,0.073805677594644,0.0247990843183979,0.728717604805098,-0.761856445488438,-0.410183102208632,0.408969197816065,0.117025797716828,-0.0201287397338438,NA,NA,0.835755728019244,NA,2.12632710550763,NA
"16",1,"stimuli/m2.jpg","stimuli/m5.jpg",1,"stimuli/Kitchen & utensil.png","stimuli/Hand labour tool & accessory.png","stimuli/Electronic device & accessory.png","stimuli/Outdoor activity & sport item.png","Hand labour tool & accessory",0,2,1,"stimuli/m2.jpg","stimuli/objects/handrake01a.jpg",NA,NA,NA,0,16,NA,NA,0,-0.978457527950477,0.00141179458172441,0.00808540686171853,-0.964211182630646,0.145729753339629,0.00508616186609845,0.565736420891939,-0.625038616473891,-0.978457527950477,0.00141179458172441,0.00808540686171853,-0.964211182630646,0.0656975311002632,0.992090248970453,0.418092765384624,0.770458572435001,NA,NA,0.0532705011996689,NA,2.33246927007358,NA
"17",1,"stimuli/m5.jpg","stimuli/m2.jpg",2,"stimuli/Hand labour tool & accessory.png","stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png","stimuli/Electronic device & accessory.png","Outdoor activity & sport item",1,2,1,"stimuli/m2.jpg","stimuli/objects/rollerblade.jpg",NA,NA,NA,0,17,NA,NA,0,-0.987032874061889,0.00808540686171853,0.00333410017619182,-0.978457527950477,-0.310347393351966,0.565736420891939,0.0430023620033183,0.145729753339629,-0.987032874061889,0.00808540686171853,0.00333410017619182,-0.978457527950477,0.508844409929014,0.418092765384624,0.950329437644298,0.0656975311002632,NA,NA,0.764763387082454,NA,0.663601886663326,NA
"18",1,"stimuli/m2.jpg","stimuli/m5.jpg",2,"stimuli/Hand labour tool & accessory.png","stimuli/Kitchen & utensil.png","stimuli/Electronic device & accessory.png","stimuli/Outdoor activity & sport item.png","Hand labour tool & accessory",1,1,1,"stimuli/m5.jpg","stimuli/objects/hedgetrimmer.jpg",NA,NA,NA,0,18,NA,NA,0,-0.987032874061889,0.0136672817372404,0.00726975527013085,-0.978457527950477,0.284198374614646,0.140589315740834,0.88663938535988,-0.361636188938262,-0.353640871743092,0.728717604805098,0.0796130389901098,0.073805677594644,-0.64496971487281,0.117025797716828,0.026477820379879,-0.410183102208632,NA,NA,0.816173233411696,NA,1.41262146718839,NA
"19",1,"stimuli/m5.jpg","stimuli/m2.jpg",1,"stimuli/Hand labour tool & accessory.png","stimuli/Outdoor activity & sport item.png","stimuli/Electronic device & accessory.png","stimuli/Kitchen & utensil.png","Hand labour tool & accessory",1,1,1,"stimuli/m5.jpg","stimuli/objects/jumpingjack.jpg",NA,NA,NA,1,19,NA,NA,0,-0.992194658314594,0.00726975527013085,0.00219291950114142,-0.987032874061889,0.623708615365286,0.88663938535988,0.983770483310214,0.284198374614646,-0.610935077548789,0.0796130389901098,0.00926212578396075,-0.353640871743092,-0.786295537090428,0.026477820379879,0.00477447140468362,-0.64496971487281,NA,NA,0.440094026289278,NA,0.071535079568705,-0.0047253568406091
"20",1,"stimuli/m2.jpg","stimuli/m5.jpg",2,"stimuli/Electronic device & accessory.png","stimuli/Kitchen & utensil.png","stimuli/Hand labour tool & accessory.png","stimuli/Outdoor activity & sport item.png","Kitchen & utensil",0,2,2,"stimuli/m5.jpg","stimuli/objects/travelmug.jpg",1,0,1.175,0,20,1,"Electronic device & accessory",0,-0.995301706861127,0.00219291950114142,0.00842085083942488,-0.992194658314594,-0.0226361183695307,0.983770483310214,0.332357005319251,0.623708615365286,0.153143874797538,0.00926212578396075,0.645771263105426,-0.610935077548789,-0.871364220516829,0.00477447140468362,0.0134508807358986,-0.786295537090428,0.00219291950114142,NA,0.0984039467963843,NA,2.40557754827885,NA
