"SubNum","trial_n_block","character","response","respCat","corrCat","accuracy","cumAcc","cumAccBlock","cumAccbyChar","RT","corr_ans","trialNum","trialNbychar","listN","NfromChange","befAft","is_prev_optimal","isoptimal","probOptimal","probOptimalChar","iCP","iCP_opt","iCP_new","trialCond","image","recogAcc","confidence","association","RTrecog","corr_ans_assoc"
1,32,"m5",1,"stimuli/Hand labour tool & accessory.png","Hand labour tool & accessory",1,0.59375,0.59375,0.625,0.78,1,51,16,2,32,1,0,1,1,1,"beforeCP","beforeCP",NA,1,"saw02b.jpg",1,2,NA,0.829,NA
1,34,"m5",2,"stimuli/Hand labour tool & accessory.png","Hand labour tool & accessory",1,0.588235294117647,0.588235294117647,0.647058823529412,0.641,2,53,17,2,34,1,0,1,0.75,1,"beforeCP","beforeCP",NA,1,"wheel01.jpg",1,3,NA,1.695,NA
1,35,"m5",2,"stimuli/Hand labour tool & accessory.png","Hand labour tool & accessory",1,0.6,0.6,0.666666666666667,0.675,2,54,18,2,35,1,0,1,0.75,1,"beforeCP","beforeCP",NA,1,"puttyknife.jpg",NA,NA,NA,0.817,NA
1,37,"m2",4,"stimuli/Hand labour tool & accessory.png","Outdoor activity & sport item",0,0.567567567567568,0.567567567567568,0.5,1.569,1,56,18,2,37,1,0,0,0.75,0.75,"beforeCP","beforeCP",NA,1,"exercisebike.jpg",NA,NA,NA,0.817,NA
1,38,"m2",2,"stimuli/Outdoor activity & sport item.png","Outdoor activity & sport item",1,0.578947368421053,0.578947368421053,0.526315789473684,0.824,2,57,19,2,38,1,0,1,1,1,"beforeCP","beforeCP",NA,1,"bikelock.jpg",NA,NA,NA,0.817,NA
1,39,"m2",1,"stimuli/Outdoor activity & sport item.png","Outdoor activity & sport item",1,0.58974358974359,0.58974358974359,0.55,1.024,1,58,20,2,39,1,0,1,1,1,"beforeCP","beforeCP",NA,1,"bikepump01.jpg",1,2,"left",0.808,1
1,40,"m2",2,"stimuli/Outdoor activity & sport item.png","Outdoor activity & sport item",1,0.6,0.6,0.571428571428571,1.359,2,59,21,2,40,1,0,1,1,NA,"beforeCP","beforeCP",NA,1,"propanetank01.jpg",NA,NA,NA,0.817,NA
1,41,"m5",4,"stimuli/Hand labour tool & accessory.png","Hand labour tool & accessory",1,0.609756097560976,0.609756097560976,0.65,0.994,4,60,20,2,41,1,0,1,1,1,"beforeCP","beforeCP",NA,1,"metalbrush.jpg",1,3,NA,2.454,NA
1,43,"m5",2,"stimuli/Hand labour tool & accessory.png","Hand labour tool & accessory",1,0.604651162790698,0.604651162790698,0.666666666666667,0.702,2,62,21,2,43,1,0,1,1,NA,"beforeCP","beforeCP",NA,1,"weedwacker.jpg",1,3,"left",1.988,0
1,44,"m2",3,"stimuli/Outdoor activity & sport item.png","Outdoor activity & sport item",1,0.613636363636364,0.613636363636364,0.565217391304348,0.744,3,63,23,2,44,1,0,1,1,NA,"beforeCP","beforeCP",NA,1,"toyhockeystick01.jpg",1,2,NA,1.12,NA
1,45,"m5",4,"stimuli/Hand labour tool & accessory.png","Hand labour tool & accessory",1,0.622222222222222,0.622222222222222,0.681818181818182,1.11,4,64,22,2,45,1,0,1,NA,NA,"beforeCP","beforeCP",NA,1,"hedgeshears.jpg",1,2,NA,0.711,NA
1,46,"m5",2,"stimuli/Hand labour tool & accessory.png","Hand labour tool & accessory",1,0.630434782608696,0.630434782608696,0.695652173913043,0.664,2,65,23,2,46,1,0,1,NA,NA,"beforeCP","beforeCP",NA,1,"caulking.jpg",1,3,NA,0.907,NA
1,47,"m2",4,"stimuli/Outdoor activity & sport item.png","Outdoor activity & sport item",1,0.638297872340426,0.638297872340426,0.583333333333333,0.848,4,66,24,2,47,1,0,1,NA,NA,"beforeCP","beforeCP",NA,1,"soccerball.jpg",1,3,NA,0.765,NA
1,48,"m5",1,"stimuli/Hand labour tool & accessory.png","Hand labour tool & accessory",1,0.645833333333333,0.645833333333333,0.708333333333333,0.76,1,67,24,2,48,1,0,1,NA,NA,"beforeCP","beforeCP",NA,1,"axe01.jpg",1,3,"left",0.704,0
1,1,"m5",3,"stimuli/Electronic device & accessory.png","Kitchen & utensil",0,0.63265306122449,0,0,0.768,4,68,1,3,1,0,0,0,0.5,0.5,"afterCP","afterCP","bef_cp",1,"toothpick02.jpg",1,4,NA,1.045,NA
1,2,"m5",2,"stimuli/Kitchen & utensil.png","Kitchen & utensil",1,0.64,0.5,0.5,0.835,2,69,2,3,2,0,0,1,0.5,0.75,"afterCP","afterCP","aft_cp",1,"woodenspoon.jpg",1,4,"left",1.287,0
1,4,"m5",2,"stimuli/Outdoor activity & sport item.png","Kitchen & utensil",0,0.615384615384615,0.25,0.25,0.896,4,71,4,3,4,0,0,0,0.5,0.75,"afterCP","afterCP","bef_cp",1,"gravyboat.jpg",NA,NA,NA,0.817,NA
1,5,"m2",3,"stimuli/Outdoor activity & sport item.png","Electronic device & accessory",0,0.60377358490566,0.2,0,0.975,2,72,1,3,5,0,1,0,0.75,0.25,"afterCP","afterCP","bef_cp",1,"videocamera01a.jpg",NA,NA,NA,0.817,NA
1,6,"m5",2,"stimuli/Kitchen & utensil.png","Kitchen & utensil",1,0.611111111111111,0.333333333333333,0.4,0.707,2,73,5,3,6,0,0,1,0.75,1,"afterCP","beforeCP","bef_cp",1,"coffeepot03a.jpg",NA,NA,NA,0.817,NA
1,7,"m2",1,"stimuli/Electronic device & accessory.png","Electronic device & accessory",1,0.618181818181818,0.428571428571429,0.5,0.913,1,74,2,3,7,0,0,1,0.75,0.25,"afterCP","beforeCP","bef_cp",1,"filmnegative.jpg",1,4,NA,0.756,NA
1,8,"m5",3,"stimuli/Kitchen & utensil.png","Kitchen & utensil",1,0.625,0.5,0.5,0.902,3,75,6,3,8,0,0,1,0.5,1,"afterCP","beforeCP","bef_cp",1,"dishrack.jpg",NA,NA,NA,0.817,NA
1,10,"m5",3,"stimuli/Kitchen & utensil.png","Kitchen & utensil",1,0.620689655172414,0.5,0.571428571428571,0.761,3,77,7,3,10,0,0,1,0.5,1,"afterCP","beforeCP","bef_cp",1,"spatula04.jpg",NA,NA,NA,0.817,NA
1,12,"m2",1,"stimuli/Outdoor activity & sport item.png","Electronic device & accessory",0,0.6,0.416666666666667,0.2,1.483,3,79,5,3,12,0,1,0,0.75,0.75,"afterCP","beforeCP","bef_cp",1,"usbcable01a.jpg",NA,NA,NA,0.817,NA
1,13,"m2",4,"stimuli/Electronic device & accessory.png","Electronic device & accessory",1,0.60655737704918,0.461538461538462,0.333333333333333,1.151,4,80,6,3,13,0,0,1,1,0.75,"afterCP","beforeCP","bef_cp",1,"antenna.jpg",1,2,"left",1.245,1
1,15,"m2",4,"stimuli/Electronic device & accessory.png","Electronic device & accessory",1,0.603174603174603,0.466666666666667,0.428571428571429,0.906,4,82,7,3,15,0,0,1,0.75,0.75,"afterCP","beforeCP","bef_cp",1,"ipad02.jpg",NA,NA,NA,0.817,NA
1,16,"m2",4,"stimuli/Electronic device & accessory.png","Electronic device & accessory",1,0.609375,0.5,0.5,1.269,4,83,8,3,16,0,0,1,0.75,0.5,"afterCP","beforeCP","bef_cp",1,"fanblades.jpg",1,3,"right",1.222,0
1,18,"m2",2,"stimuli/Electronic device & accessory.png","Electronic device & accessory",1,0.621212121212121,0.555555555555556,0.6,0.915,2,85,10,3,18,0,0,1,0.75,0.75,"beforeCP","beforeCP","bef_cp",1,"payphone.jpg",NA,NA,NA,0.817,NA
1,19,"m5",4,"stimuli/Kitchen & utensil.png","Kitchen & utensil",1,0.626865671641791,0.578947368421053,0.555555555555556,1.088,4,86,9,3,19,0,0,1,0.75,1,"beforeCP","beforeCP","bef_cp",1,"martiniglass01b.jpg",1,3,"left",1.325,0
1,20,"m2",2,"stimuli/Outdoor activity & sport item.png","Electronic device & accessory",0,0.617647058823529,0.55,0.545454545454545,0.895,4,87,11,3,20,0,1,0,0.75,0.75,"beforeCP","beforeCP","bef_cp",1,"satellitedish01.jpg",0,2,"left",1.194,1
1,21,"m2",1,"stimuli/Electronic device & accessory.png","Electronic device & accessory",1,0.623188405797101,0.571428571428571,0.583333333333333,0.547,1,88,12,3,21,0,0,1,1,0.75,"beforeCP","beforeCP","bef_cp",1,"electricoutlet.jpg",1,3,"left",0.76,1
1,22,"m5",2,"stimuli/Kitchen & utensil.png","Kitchen & utensil",1,0.628571428571429,0.590909090909091,0.6,0.93,2,89,10,3,22,0,0,1,1,1,"beforeCP","beforeCP","bef_cp",1,"handmixer01d.jpg",1,1,"left",1.403,0
1,23,"m5",4,"stimuli/Kitchen & utensil.png","Kitchen & utensil",1,0.633802816901408,0.608695652173913,0.636363636363636,1.471,4,90,11,3,23,0,0,1,1,1,"beforeCP","beforeCP","bef_cp",1,"pitcher02b.jpg",1,3,NA,1.359,NA
1,24,"m2",1,"stimuli/Electronic device & accessory.png","Electronic device & accessory",1,0.638888888888889,0.625,0.615384615384615,0.77,1,91,13,3,24,0,0,1,0.75,0.75,"beforeCP","beforeCP","bef_cp",1,"nintendods.jpg",1,4,"left",1.104,1
1,25,"m5",4,"stimuli/Kitchen & utensil.png","Kitchen & utensil",1,0.643835616438356,0.64,0.666666666666667,0.963,4,92,12,3,25,1,0,1,0.75,0.75,"beforeCP","beforeCP","bef_cp",1,"shotglass.jpg",1,4,"left",1.543,0
1,27,"m2",4,"stimuli/Kitchen & utensil.png","Electronic device & accessory",0,0.626666666666667,0.592592592592593,0.533333333333333,0.987,2,94,15,3,27,1,0,0,0.75,0.5,"beforeCP","beforeCP","bef_cp",1,"cellphone.jpg",1,2,"right",2.122,0
1,28,"m2",4,"stimuli/Electronic device & accessory.png","Electronic device & accessory",1,0.631578947368421,0.607142857142857,0.5625,1.37,4,95,16,3,28,1,0,1,0.75,0.75,"beforeCP","beforeCP","bef_cp",1,"vhstape.jpg",1,2,"right",1.035,0
1,31,"m5",1,"stimuli/Electronic device & accessory.png","Kitchen & utensil",0,0.607594936708861,0.548387096774194,0.533333333333333,0.787,3,98,15,3,31,1,0,0,0.25,0.5,"afterCP","beforeCP","bef_cp",1,"butterknife.jpg",0,3,NA,1.066,NA
1,32,"m2",3,"stimuli/Outdoor activity & sport item.png","Electronic device & accessory",0,0.6,0.53125,0.529411764705882,1.196,1,99,17,3,32,1,1,0,0.5,0.75,"afterCP","beforeCP","bef_cp",1,"gps.jpg",1,3,"left",2.263,1
1,34,"m5",2,"stimuli/Electronic device & accessory.png","Kitchen & utensil",0,0.585365853658537,0.5,0.470588235294118,0.719,1,101,17,3,34,1,0,0,0.75,0.75,"afterCP","beforeCP","bef_cp",1,"waterbottle03.jpg",1,3,"left",0.978,0
1,35,"m5",2,"stimuli/Kitchen & utensil.png","Kitchen & utensil",1,0.590361445783133,0.514285714285714,0.5,0.543,2,102,18,3,35,1,0,1,1,0.75,"afterCP","beforeCP","bef_cp",1,"peeler01.jpg",NA,NA,NA,0.817,NA
1,36,"m2",1,"stimuli/Electronic device & accessory.png","Electronic device & accessory",1,0.595238095238095,0.527777777777778,0.555555555555556,0.413,1,103,18,3,36,1,0,1,0.75,1,"afterCP","beforeCP","bef_cp",1,"dvdplayer.jpg",1,3,"right",1.071,0
1,37,"m5",2,"stimuli/Kitchen & utensil.png","Kitchen & utensil",1,0.6,0.540540540540541,0.526315789473684,0.674,2,104,19,3,37,1,0,1,0.75,0.75,"afterCP","beforeCP","bef_cp",1,"tupperware03a.jpg",0,2,NA,0.916,NA
1,38,"m5",3,"stimuli/Kitchen & utensil.png","Kitchen & utensil",1,0.604651162790698,0.552631578947368,0.55,0.933,3,105,20,3,38,1,0,1,0.75,0.75,"beforeCP","beforeCP","bef_cp",1,"espressomachine.jpg",1,4,"right",1.113,1
1,39,"m5",2,"stimuli/Electronic device & accessory.png","Kitchen & utensil",0,0.597701149425287,0.538461538461538,0.523809523809524,0.712,4,106,21,3,39,1,0,0,0.75,NA,"afterCP","beforeCP","bef_cp",1,"bowl02a.jpg",1,3,"right",1.086,1
1,40,"m5",2,"stimuli/Kitchen & utensil.png","Kitchen & utensil",1,0.602272727272727,0.55,0.545454545454545,1.118,2,107,22,3,40,1,0,1,1,NA,"beforeCP","beforeCP","bef_cp",1,"towel01.jpg",1,4,NA,0.833,NA
1,42,"m2",3,"stimuli/Electronic device & accessory.png","Electronic device & accessory",1,0.6,0.547619047619048,0.578947368421053,0.842,3,109,19,3,42,1,0,1,1,1,"afterCP","beforeCP","bef_cp",1,"lightbulb01.jpg",0,2,"left",3.645,1
1,43,"m2",4,"stimuli/Electronic device & accessory.png","Electronic device & accessory",1,0.604395604395604,0.558139534883721,0.6,0.904,4,110,20,3,43,1,0,1,1,0.75,"beforeCP","beforeCP","bef_cp",1,"outletadapter.jpg",NA,NA,NA,0.817,NA
1,44,"m2",1,"stimuli/Electronic device & accessory.png","Electronic device & accessory",1,0.608695652173913,0.568181818181818,0.619047619047619,1.011,1,111,21,3,44,1,0,1,0.75,NA,"beforeCP","beforeCP","bef_cp",1,"securitycamera.jpg",1,4,NA,0.866,NA
1,45,"m5",2,"stimuli/Kitchen & utensil.png","Kitchen & utensil",1,0.612903225806452,0.577777777777778,0.541666666666667,0.686,2,112,24,3,45,1,0,1,NA,NA,"beforeCP","beforeCP","bef_cp",1,"funnel.jpg",1,3,"left",1.231,0
1,48,"m2",2,"stimuli/Outdoor activity & sport item.png","Electronic device & accessory",0,0.59375,0.541666666666667,0.541666666666667,1.015,3,115,24,3,48,1,1,0,NA,NA,"afterCP","beforeCP","bef_cp",1,"expansioncard.jpg",1,2,"right",2.135,0
1,2,"m2",2,"stimuli/Electronic device & accessory.png","Kitchen & utensil",0,0.581632653061224,0,0,1.303,3,117,1,4,2,0,1,0,0.5,0.5,"afterCP","afterCP","bef_cp",1,"gasburner.jpg",1,3,"left",1.239,1
1,3,"m2",1,"stimuli/Hand labour tool & accessory.png","Kitchen & utensil",0,0.575757575757576,0,0,1.247,4,118,2,4,3,0,0,0,0.5,0.75,"afterCP","afterCP","bef_cp",1,"cork02.jpg",1,4,"left",1.386,1
1,4,"m2",2,"stimuli/Kitchen & utensil.png","Kitchen & utensil",1,0.58,0.25,0.333333333333333,1.161,2,119,3,4,4,0,0,1,0.75,1,"afterCP","afterCP","aft_cp",1,"hourglass.jpg",1,4,"right",1.032,0
1,5,"m2",1,"stimuli/Kitchen & utensil.png","Kitchen & utensil",1,0.584158415841584,0.4,0.5,0.613,1,120,4,4,5,0,0,1,0.75,0.75,"afterCP","afterCP","bef_cp",1,"cleaver01.jpg",1,3,"left",1.471,1
1,6,"m5",2,"stimuli/Outdoor activity & sport item.png","Hand labour tool & accessory",0,0.57843137254902,0.333333333333333,0,0.646,3,121,2,4,6,0,0,0,0.75,0.75,"afterCP","afterCP","bef_cp",1,"mallet01b.jpg",1,1,NA,1.044,NA
1,7,"m5",2,"stimuli/Hand labour tool & accessory.png","Hand labour tool & accessory",1,0.58252427184466,0.428571428571429,0.333333333333333,0.734,2,122,3,4,7,0,0,1,1,1,"afterCP","beforeCP","bef_cp",1,"hoe.jpg",1,3,"left",1.36,0
1,9,"m2",3,"stimuli/Kitchen & utensil.png","Kitchen & utensil",1,0.580952380952381,0.444444444444444,0.6,1.004,3,124,5,4,9,0,0,1,0.75,0.5,"afterCP","beforeCP","bef_cp",1,"cookingpot.jpg",1,3,"left",1.086,1
1,11,"m2",1,"stimuli/Electronic device & accessory.png","Kitchen & utensil",0,0.570093457943925,0.363636363636364,0.428571428571429,0.569,2,126,7,4,11,0,1,0,0.75,0,"afterCP","beforeCP","bef_cp",1,"tray.jpg",1,3,"right",1.349,0
1,12,"m5",4,"stimuli/Hand labour tool & accessory.png","Hand labour tool & accessory",1,0.574074074074074,0.416666666666667,0.4,0.783,4,127,5,4,12,0,0,1,0.75,1,"afterCP","beforeCP","bef_cp",1,"jumpercables.jpg",1,3,NA,1.274,NA
1,13,"m5",4,"stimuli/Hand labour tool & accessory.png","Hand labour tool & accessory",1,0.577981651376147,0.461538461538462,0.5,0.796,4,128,6,4,13,0,0,1,0.75,0.75,"afterCP","beforeCP","bef_cp",1,"squeegee01b.jpg",NA,NA,NA,0.817,NA
1,14,"m5",3,"stimuli/Hand labour tool & accessory.png","Hand labour tool & accessory",1,0.581818181818182,0.5,0.571428571428571,0.893,3,129,7,4,14,0,0,1,0.5,0.5,"afterCP","beforeCP","bef_cp",1,"painttray.jpg",NA,NA,NA,0.817,NA
1,17,"m5",3,"stimuli/Outdoor activity & sport item.png","Hand labour tool & accessory",0,0.566371681415929,0.411764705882353,0.444444444444444,1.064,1,132,9,4,17,0,0,0,0.25,0.5,"afterCP","beforeCP","bef_cp",1,"rope03.jpg",1,3,"left",0.851,0
1,19,"m2",2,"stimuli/Hand labour tool & accessory.png","Kitchen & utensil",0,0.556521739130435,0.368421052631579,0.333333333333333,0.765,3,134,9,4,19,0,0,0,0.75,0.25,"afterCP","beforeCP","bef_cp",1,"watercooler.jpg",NA,NA,NA,0.817,NA
1,20,"m5",4,"stimuli/Hand labour tool & accessory.png","Hand labour tool & accessory",1,0.560344827586207,0.4,0.454545454545455,1.01,4,135,11,4,20,0,0,1,1,1,"afterCP","beforeCP","bef_cp",1,"hammer01.jpg",1,3,NA,0.921,NA
