"","X","V1","V2","alphapos","alphaneg","beta"
"1",1,"sub-01","fmri",0.294694633725997,0.191543324803913,4.91244078791643
"2",2,"sub-02","fmri",0.340548818446122,0.239223737738373,7.18391696833572
"3",3,"sub-03","fmri",0.532267105241921,0.322475488439048,4.95215571411868
"4",4,"sub-04","fmri",0.660526116581924,0.450236395634801,3.65212697455636
"5",5,"sub-05","fmri",0.322586007732869,0.0431397180896618,3.55986081395655
"6",6,"sub-06","fmri",0.208944896259038,0.220323123140731,5.6308659875889
"7",7,"sub-07","fmri",0.143431988708587,0.0327361270097196,5.81396025336512
"8",8,"sub-08","fmri",0.228549049952163,0.253287094079964,3.5220639940735
"9",9,"sub-09","fmri",0.372259800301765,0.00121855498463195,5.51612522828759
"10",10,"sub-10","fmri",0.299224771939353,0.382138589354742,4.2117470829983
"11",11,"sub-11","fmri",0.456174737259109,0.215859366614048,4.44123450979165
"12",12,"sub-12","fmri",0.380723600658815,0.233452736608794,5.67323145674883
"13",13,"sub-13","fmri",0.396130109368424,0.394935297639013,1.87766757765479
"14",14,"sub-14","fmri",0.414568021190251,0.361180970327883,2.28633551644213
"15",15,"sub-15","fmri",0.404617944926791,0.293147976891424,3.6898579087783
"16",16,"sub-16","fmri",0.388161780970332,0.284249843061312,4.20857904579786
"17",17,"sub-18","fmri",0.392380958191488,0.285810268281852,4.28576426835622
"18",18,"sub-19","fmri",0.239765651013465,0.140360198470192,5.38108492010048
"19",19,"sub-20","fmri",0.441252657894895,0.132324593927853,5.4261566720232
"20",20,"sub-21","fmri",0.492132999130232,0.371213400855615,3.47006564298049
"21",21,"sub-22","fmri",0.284331733099796,0.174201983893964,6.16906977071004
"22",22,"sub-24","fmri",0.357434620418954,0.229841091857362,5.06702334116627
"23",23,"sub-26","fmri",0.314622404359342,0.193070660205108,6.95563712299679
"24",24,"sub-27","fmri",0.617218999920177,0.306436904489277,3.54401573812597
"25",25,"sub-28","fmri",0.23635670532517,0.146373713912884,7.11654836769524
"26",26,"sub-29","fmri",0.214217813929115,0.254995051768885,6.01225245977151
"27",27,"sub-30","fmri",0.38143240039043,0.377001834988143,5.39476738591551
"28",28,"sub-31","fmri",0.537542139352422,0.158377397025069,5.84321747338847
"29",29,"sub-32","fmri",0.296997368859501,0.218725571074358,5.5868282775917
"30",30,"sub-33","fmri",0.273182290377214,0.280306633306154,5.91990679590553
"31",31,"sub-34","fmri",0.386858972020406,0.287153250412651,4.27959195303573
"32",32,"sub-35","fmri",0.276154608429222,0.0443643430402054,7.68709964912057
"33",33,"sub-36","fmri",0.355165246384923,0.0388348657152894,3.84864513258986
"34",34,"sub-01","beh",0.474307725367155,0.398066948477334,3.77878983170534
"35",35,"sub-02","beh",0.463818878531514,0.204762990720977,4.1440237431748
"36",36,"sub-03","beh",0.647358129565149,0.626112697415679,3.11185946634208
"37",37,"sub-04","beh",0.270941962435863,0.270636039295109,5.30687288651006
"38",38,"sub-05","beh",0.43679845165982,0.325712705084206,4.5112435130156
"39",39,"sub-06","beh",0.349552836496894,0.190891580400313,6.05752156679292
"40",40,"sub-07","beh",0.622027576768027,0.620028001163863,3.25505917892592
"41",41,"sub-08","beh",0.615205381436373,0.470514468800933,2.44481573270065
"42",42,"sub-09","beh",0.145679305119192,0.106273953349504,5.40669293868715
"43",43,"sub-10","beh",0.335109058166052,0.288969613176507,3.40134624912187
"44",44,"sub-11","beh",0.341908148770101,0.313361470919795,2.42416261572244
"45",45,"sub-12","beh",0.387668148821165,0.255340758490886,3.42360459864782
"46",46,"sub-13","beh",0.301519845361068,0.199142125294154,4.62452448049052
"47",47,"sub-14","beh",0.50567181509374,0.469582409107712,3.25483473157673
"48",48,"sub-15","beh",0.466385226984594,0.304655334373311,3.78997372629521
"49",49,"sub-16","beh",0.357810587516765,0.231102787211108,6.51280194985468
"50",50,"sub-17","beh",0.47319276776228,0.295384059874627,2.93707807335078
"51",51,"sub-18","beh",0.215804396204262,0.201534421445917,4.92625654175844
"52",52,"sub-19","beh",0.365123745800245,0.296288680064117,2.51160951841565
"53",53,"sub-20","beh",0.302584648930041,0.173792387437812,7.50251120388684
"54",54,"sub-21","beh",0.208922453649248,0.307526485517134,3.33347303894046
"55",55,"sub-22","beh",0.227296292743469,0.201567400565336,3.59855741060239
"56",56,"sub-23","beh",0.528927194126665,0.460795973184335,2.09108296814485
"57",57,"sub-24","beh",0.30836130435976,0.420675492943382,4.11649490902276
"58",58,"sub-25","beh",0.286413683011438,0.211714724402942,3.77552636826775
"59",59,"sub-26","beh",0.427856880068858,0.174674203798344,3.79209548066483
"60",60,"sub-27","beh",0.366644480621763,0.094980063523886,3.58458109221882
"61",61,"sub-28","beh",0.377834767323909,0.19082415241819,1.56681824064523
"62",62,"sub-29","beh",0.486550334291834,0.434928974993276,3.29944422219717
"63",63,"sub-30","beh",0.462680367958099,0.181596896086511,4.10842728659163
"64",64,"sub-32","beh",0.46357295997693,0.0146614041615852,4.2839409319534
"65",65,"sub-33","beh",0.493869351914599,0.439918193258414,1.5006971801531
"66",66,"sub-34","beh",0.342300952420726,0.352586357081111,3.5318789340467
"67",67,"sub-36","beh",0.458473488555798,0.277744050516711,2.33099909236075
"68",68,"sub-38","beh",0.32696155710478,0.255319920860168,3.35622403545029
"69",69,"sub-39","beh",0.562398012454019,0.411739231290984,2.97579086672616
"70",70,"sub-40","beh",0.689504617382625,0.495118927412543,3.01739672619028
"71",71,"sub-41","beh",0.337770389951239,0.44791253323324,2.94084043564294
"72",72,"sub-42","beh",0.234679454217549,0.207923399073952,2.77563041741439
